"namespace","condition","plain_english","agent_interpretation","developer_action","example"
"issue_confidence","observed","CLIARE directly observed the behavior at runtime.","Treat this as concrete evidence, not a guess.","Fix the behavior or mark it intentional with a disposition.","An invalid flag probe exited zero, so the CLI accepted bad input."
"issue_confidence","blocked","CLIARE reached the command or contract, but a runtime condition stopped safe confirmation.","The command may exist, but the harness needs setup before it can rely on it.","Document or provide the missing precondition and keep help usable before setup.","describe --format json failed because the artifact directory was absent."
"issue_confidence","needs_fixture","CLIARE found a contract, but safe sample operands or fixtures are needed before validation.","The harness should not invent values for this command.","Add safe fixtures, dry-run examples, or sample operands.","report --format json needs a persona value before output can be validated."
"issue_confidence","inferred","CLIARE inferred the condition from help, layout, or partial evidence without full runtime confirmation.","Do not route automatically on this evidence alone.","Improve help shape or rerun with more traversal budget.","A command row appears in parent help, but command-specific help was not probed."
"issue_confidence","advisory","The condition is useful quality guidance but not the first automation blocker.","Treat as lower priority than observed failures or blocked contracts.","Address after concrete discovery, output, safety, and precondition issues.","Optional help <path> compatibility is unavailable but direct command --help works."
"issue_severity","high","The condition can materially break agent routing, output parsing, safety, or CI gates.","Prioritize before exposing the CLI broadly to agents.","Fix or explicitly disposition before publishing readiness claims.","Machine-readable output is advertised but does not parse."
"issue_severity","medium","The condition weakens reliability or coverage but may not block all use.","Use with caution or restrict to confirmed commands.","Fix as part of the maintainer readiness queue.","Traversal exhausted probe budget before confirming all candidates."
"issue_severity","low","The condition is a polish, policy, publishing, or calibration improvement.","It should not usually block local experimentation.","Schedule after high and medium issues.","Add optional public context before publishing a score."
"issue_category","discovery","This concerns whether agents can find and confirm commands.","Bad discovery causes missed commands or routing to non-existent commands.","Expose stable help and confirm command groups and leaves.","issue.existence_unconfirmed on context help."
"issue_category","grammar","This concerns operands, flags, arity, and value requirements.","Agents cannot construct commands reliably without grammar.","Add explicit usage, value names, required markers, and examples.","A command has flags but their value arity is unknown."
"issue_category","execution","This concerns predictable command behavior during safe probes and real use.","Agents need probe behavior to match task behavior.","Make diagnostic and execution paths consistent and bounded.","A safe probe behaves differently from the documented command."
"issue_category","output","This concerns machine-readable output contracts.","Agents cannot reliably consume state without parseable output.","Return valid JSON, YAML, table, or plain output as advertised.","--format json returned help text or malformed JSON."
"issue_category","safety","This concerns filesystem or environment side effects during discovery.","Agents may cause unintended persistent changes while exploring.","Keep help, version, and diagnostics read-only or document expected writes.","--help created a cache file in the sandbox."
"issue_category","recovery","This concerns whether failures are actionable.","Agents need diagnostics that explain how to repair bad invocations.","Return nonzero, specific, actionable errors for invalid inputs.","Unknown flags should say the flag is unknown and suggest --help."
"issue_category","coverage","This concerns how complete the measurement is.","The report may not characterize the whole CLI surface.","Rerun with deeper traversal or larger probe budget when needed.","probe_budget_exhausted with frontier remaining."
